method name: freqs			
2014-05-16	1	59.73202	5.90225
2011-05-25	1	438.99786	43.3783
2013-12-29	1	64.50724	6.3741
2017-04-06	1	122.47631	12.10214
2016-12-08	1	150.88813	14.90957
2016-03-06	1	104.23435	10.29962
2013-09-15	1	70.89618	7.0054
2017-03-21	1	122.10393	12.06535
2016-04-09	1	95.02373	9.3895
2017-04-25	1	134.97403	13.33707
2014-01-02	1	63.03036	6.22816
2014-11-13	1	65.15259	6.43786
2013-11-24	1	78.74982	7.78144
2015-08-30	1	106.66559	10.53985
2014-10-02	1	48.78577	4.82062
2013-10-30	1	69.94124	6.91104
2009-08-03	1	382.06802	37.75294
2016-04-19	1	92.00198	9.09091
2017-06-19	1	128.57928	12.70519
2014-10-22	1	54.97549	5.43224
2015-12-23	1	77.87059	7.69456
2014-04-10	1	53.44038	5.28056
2017-02-08	1	124.77921	12.3297
2016-08-10	1	107.70543	10.6426
2012-07-25	1	391.51293	38.68622
2013-10-28	1	69.48265	6.86573
2013-09-01	1	79.68989	7.87433
2015-12-14	1	66.18847	6.54022
2012-08-29	1	684.67746	67.65442
2016-05-12	1	75.32502	7.44302
2017-06-01	1	124.30562	12.2829
2016-01-11	1	68.92848	6.81097
2017-03-01	1	119.71205	11.829
2015-09-02	1	75.47163	7.45751
2016-08-04	1	104.15926	10.2922
2017-02-19	1	163.35051	16.14101
2016-04-12	1	86.68949	8.56597
2013-08-09	1	68.98769	6.81682
2016-09-28	1	107.46411	10.61875
2015-05-22	1	68.53359	6.77195
2016-04-14	1	79.1712	7.82307
2017-05-17	1	126.46952	12.49672
2013-06-19	1	83.64162	8.2648
2013-12-30	1	71.77459	7.0922
2016-11-04	1	119.97318	11.8548
2016-06-11	1	110.44896	10.91369
2009-08-26	1	396.45151	39.17421
2012-01-06	1	386.23836	38.16503
2016-04-08	1	84.16401	8.31642
2015-04-28	1	75.49866	7.46018
2015-08-21	1	78.61523	7.76814
2016-12-12	1	125.26107	12.37731
2017-04-21	1	118.20751	11.68033
2013-04-20	1	482.85785	47.7122
2011-06-22	1	303.78272	30.01741
2013-09-07	1	83.51806	8.2526
2017-02-18	1	116.84679	11.54588
2014-08-05	1	72.08081	7.12246
2015-11-22	1	160.36347	15.84585
2016-02-06	1	124.92399	12.344
2016-11-24	1	90.23823	8.91663
2016-05-02	1	104.36765	10.31279
2013-12-02	1	65.0663	6.42934
2016-07-22	1	104.82601	10.35808
2015-06-12	1	70.96927	7.01262
2016-03-21	1	84.18642	8.31864
2012-06-22	1	346.49973	34.23837
2016-09-22	1	99.64767	9.8464
2013-08-08	1	73.80555	7.29288
2016-02-08	1	92.20819	9.11129
2014-10-19	1	77.80414	7.68799
2014-06-06	1	54.18575	5.35421
2016-12-19	1	110.25163	10.8942
2014-03-26	1	49.51982	4.89316
2012-03-01	1	433.59973	42.8449
2017-02-26	1	139.41422	13.77581
2015-11-21	1	66.45665	6.56672
2016-03-27	1	107.26933	10.59951
2009-03-08	1	869.73338	85.94019
2017-05-05	1	140.09936	13.84351
2015-03-08	1	79.72316	7.87761
2017-04-18	1	130.21884	12.8672
2012-04-24	1	476.5595	47.08985
2015-02-08	1	86.03871	8.50167
2014-08-20	1	40.12361	3.9647
2016-07-19	1	108.93082	10.76368
2014-10-05	1	79.30397	7.83619
2014-11-26	1	64.15759	6.33955
2013-12-25	1	87.83691	8.67935
2014-05-01	1	73.80555	7.29288
2015-02-16	1	70.7861	6.99452
2014-05-31	1	72.71943	7.18556
2016-08-06	1	121.33826	11.98969
2015-03-12	1	63.70406	6.29473
2013-08-28	1	59.42757	5.87216
2006-12-15	1	1089.83606	107.68899
2013-11-30	1	75.56744	7.46698
2014-11-22	1	76.72179	7.58104
2013-08-12	1	74.8238	7.3935
2016-02-01	1	88.14215	8.70951
2017-05-02	1	168.97445	16.69672
2014-04-25	1	85.88975	8.48695
2017-06-06	1	138.5041	13.68588
2014-01-13	1	58.00083	5.73118
2014-10-26	1	76.23459	7.5329
2014-02-05	1	49.51764	4.89294
2009-05-06	1	436.96967	43.17789
2012-10-06	1	402.66652	39.78833
2008-12-11	1	417.03621	41.20823
2016-03-26	1	115.29464	11.39251
2014-10-29	1	70.27734	6.94425
2017-01-23	1	109.87696	10.85717
2017-03-22	1	105.14184	10.38929
2015-05-23	1	57.02398	5.63466
2016-01-31	1	126.04737	12.45501
2015-09-20	1	68.27421	6.74632
2015-05-08	1	63.7932	6.30354
2017-05-10	1	133.94327	13.23522
2017-04-12	1	132.88973	13.13111
2015-11-11	1	59.53209	5.88249
2007-07-04	1	1021.31573	100.91836
2006-02-03	1	1027.53758	101.53315
2011-01-19	1	289.74512	28.63033
2013-03-20	1	261.95785	25.88461
2014-07-23	1	49.07153	4.84886
2012-01-12	1	321.76706	31.79448
2005-06-01	1	1077.07723	106.42827
2015-12-11	1	60.37415	5.9657
2008-12-12	1	971.88299	96.0338
2012-11-27	1	265.1076	26.19584
2011-02-20	1	391.24048	38.6593
2015-06-19	1	74.10496	7.32247
2004-07-29	1	658.43966	65.06181
2014-03-25	1	44.34219	4.38154
2012-07-24	1	407.285	40.24469
2003-04-13	1	2625.21858	259.40337
2014-12-22	1	65.83069	6.50487
2008-02-01	1	529.96531	52.36699
2016-10-01	1	147.88937	14.61326
2011-02-01	1	343.83915	33.97547
2013-06-01	1	138.96244	13.73117
2016-05-03	1	92.37905	9.12817
2008-03-03	1	852.30062	84.21762
2016-11-17	1	101.74141	10.05328
2014-12-24	1	77.92755	7.70019
2014-09-15	1	39.20331	3.87376
2007-02-19	1	1150.80937	113.7139
2015-12-19	1	74.65655	7.37697
2010-08-14	1	440.086	43.48582
2009-09-17	1	438.10466	43.29004
2009-09-13	1	713.54563	70.50694
2015-06-16	1	74.18209	7.33009
2010-07-11	1	749.59022	74.06859
2013-02-13	1	331.19147	32.72573
2010-07-16	1	1073.30763	106.05579
2011-10-19	1	414.35545	40.94333
2013-06-20	1	68.56562	6.77511
2014-03-05	1	49.4021	4.88153
2014-09-03	1	36.29321	3.58621
2012-11-26	1	163.37688	16.14361
2011-09-18	1	309.51517	30.58385
2014-12-19	1	61.75798	6.10244
2011-02-28	1	425.4695	42.04154
2010-11-18	1	269.63519	26.64322
2012-12-13	1	310.81749	30.71253
2010-06-11	1	946.96525	93.57163
2016-03-23	1	85.12038	8.41092
2010-05-12	1	382.58799	37.80432
2015-05-05	1	62.92063	6.21732
2003-02-11	1	1772.98837	175.19271
2010-08-09	1	407.21944	40.23821
2012-06-21	1	271.29769	26.8075
2009-08-30	1	899.415	88.87309
2012-01-19	1	470.40149	46.48136
2006-08-21	1	1444.71343	142.75517
2013-09-10	1	101.08694	9.98861
2014-10-28	1	59.35542	5.86503
2012-03-13	1	405.24637	40.04325
2011-07-13	1	620.18738	61.28202
2010-03-12	1	399.80317	39.50539
2010-01-13	1	485.33558	47.95703
2015-11-27	1	67.69331	6.68892
2013-06-10	1	98.39497	9.72261
2011-12-07	1	373.97796	36.95355
2017-04-19	1	110.54548	10.92323
2013-11-20	1	60.09024	5.93764
2013-03-09	1	323.63983	31.97953
2011-07-06	1	378.21278	37.372
2009-10-06	1	414.89905	40.99705
2013-02-27	1	439.89471	43.46692
2010-12-20	1	582.52562	57.56058
2010-12-22	1	393.78279	38.91051
2011-11-27	1	355.2574	35.10373
2010-10-11	1	288.74483	28.53148
2015-03-14	1	85.12754	8.41163
2012-10-30	1	440.91045	43.56729
2016-06-02	1	96.5292	9.53825
2012-12-14	1	312.76749	30.90521
2015-11-25	1	60.54645	5.98272
2012-01-27	1	357.39018	35.31448
2012-12-04	1	453.31322	44.79283
2012-12-07	1	289.10777	28.56735
2009-11-25	1	495.04562	48.9165
2013-12-24	1	77.53411	7.66131
2014-11-23	1	87.30045	8.62634
2013-04-25	1	380.1449	37.56292
2017-02-09	1	112.89594	11.15549
2015-03-20	1	239.97481	23.71242
2008-11-27	1	422.85621	41.78331
2014-02-17	1	49.44748	4.88601
2009-08-01	1	895.99093	88.53475
2015-06-06	1	101.89609	10.06857
2017-01-16	1	101.64127	10.04339
2014-12-02	1	59.45026	5.87441
2008-09-23	1	845.46513	83.54219
2013-07-04	1	69.32986	6.85063
2016-06-23	1	99.84528	9.86592
2010-02-16	1	295.94741	29.24319
2014-12-01	1	56.21968	5.55519
2013-07-08	1	73.25688	7.23867
2016-11-12	1	136.91882	13.52924
2010-01-29	1	271.39954	26.81756
2013-01-07	1	234.15047	23.1369
2008-08-09	1	856.8468	84.66684
2017-06-16	1	123.24445	12.17804
2010-02-15	1	403.43702	39.86446
2016-02-12	1	108.20753	10.69221
2010-11-14	1	364.75825	36.04253
2008-12-31	1	864.97586	85.47009
2015-03-21	1	215.25508	21.26981
2015-01-29	1	52.16204	5.15424
2013-02-19	1	276.66742	27.33809
2017-03-19	1	152.19974	15.03918
2016-10-06	1	98.67896	9.75068
2015-06-28	1	96.7442	9.5595
2015-12-10	1	59.12067	5.84184
2012-09-17	1	199.47211	19.71026
2014-12-28	1	74.79559	7.39071
2015-06-13	1	105.28294	10.40323
2013-06-18	1	79.8244	7.88762
2015-01-22	1	57.67952	5.69943
2014-06-15	1	63.58239	6.28271
2010-07-03	1	522.17211	51.59692
2013-09-05	1	56.65368	5.59807
2014-07-18	1	46.57642	4.60231
2013-10-16	1	57.91752	5.72295
2015-05-13	1	65.40016	6.46233
2016-01-04	1	82.26482	8.12876
2013-06-07	1	96.92117	9.57698
2013-05-18	1	471.49728	46.58964
2010-10-20	1	301.87077	29.82849
2014-08-06	1	82.52375	8.15435
2014-02-24	1	53.97363	5.33325
2015-09-19	1	64.24678	6.34836
2016-03-12	1	100.68967	9.94936
2012-05-12	1	567.94532	56.11987
2017-05-19	1	131.32395	12.9764
2016-02-23	1	72.00952	7.11541
2009-01-26	1	478.47466	47.27909
2010-09-28	1	687.88864	67.97172
2012-01-23	1	408.04038	40.31933
2014-09-13	1	42.70855	4.22012
2015-11-23	1	92.54801	9.14486
2012-06-23	1	496.0891	49.01961
2014-03-17	1	58.17253	5.74815
2016-06-01	1	95.51881	9.43841
2008-09-25	1	1171.86401	115.79435
2004-07-23	1	1143.65664	113.00712
2014-02-14	1	62.75559	6.20101
2008-11-03	1	466.0044	46.04688
2014-02-26	1	48.04098	4.74703
2009-04-29	1	469.76826	46.41879
2013-10-02	1	65.66325	6.48832
2013-04-06	1	270.75332	26.75371
2013-06-26	1	73.18853	7.23191
2015-08-03	1	81.85362	8.08813
2014-05-25	1	80.143	7.9191
2015-01-09	1	146.62732	14.48855
2009-02-02	1	299.65409	29.60945
2013-11-08	1	166.68672	16.47067
2014-12-13	1	74.63783	7.37512
2014-01-09	1	56.23093	5.5563
2012-08-14	1	379.7455	37.52345
2017-01-31	1	90.25191	8.91798
2016-05-08	1	114.77163	11.34083
2014-03-15	1	64.26473	6.35013
2015-12-06	1	79.9158	7.89665
2010-06-03	1	429.04094	42.39444
2013-08-24	1	87.45964	8.64207
2013-05-17	1	256.21453	25.3171
2015-11-26	1	56.26125	5.55929
2017-01-26	1	89.04174	8.7984
2016-05-07	1	108.43478	10.71467
2016-03-18	1	83.50566	8.25137
2015-04-07	1	60.35507	5.96381
2015-07-23	1	67.30076	6.65013
2013-09-21	1	70.32813	6.94927
2015-04-15	1	67.19977	6.64015
2015-01-12	1	137.80065	13.61637
2015-11-17	1	57.04263	5.6365
2013-12-26	1	88.79175	8.7737
2014-05-07	1	48.47985	4.7904
2011-11-13	1	307.41852	30.37667
2013-07-30	1	71.58978	7.07394
2006-04-21	1	1101.94007	108.88502
2012-06-11	1	365.97178	36.16244
2008-12-27	1	886.02851	87.55034
2015-01-19	1	96.10478	9.49632
2016-06-20	1	100.5666	9.9372
2015-10-14	1	60.27742	5.95614
2012-08-15	1	178.14462	17.60284
2014-05-27	1	46.64813	4.6094
2009-02-21	1	1051.23274	103.87452
2014-04-12	1	224.11182	22.14496
2012-09-01	1	424.73738	41.96919
2012-03-26	1	425.72007	42.0663
2012-07-13	1	435.46547	43.02926
2010-07-08	1	495.1425	48.92607
2013-01-04	1	264.38041	26.12398
2013-09-14	1	69.53612	6.87101
2016-04-26	1	81.94176	8.09684
2010-09-14	1	332.10441	32.81594
2008-01-13	1	854.09888	84.39531
2013-09-22	1	61.57311	6.08417
2014-12-31	1	81.1383	8.01745
2014-02-08	1	66.37383	6.55854
2013-01-24	1	206.1438	20.3695
2011-01-07	1	213.13349	21.06017
2015-07-06	1	72.49491	7.16338
2010-09-25	1	411.54152	40.66528
2011-03-20	1	449.26829	44.39315
2016-06-18	1	228.74167	22.60245
2008-02-05	1	481.06753	47.53529
2009-01-28	1	370.82619	36.64212
2012-11-25	1	433.80418	42.8651
2015-09-29	1	67.41374	6.66129
2015-02-10	1	60.27491	5.95589
2016-05-19	1	87.31853	8.62813
2015-07-29	1	144.75652	14.3037
2013-01-27	1	281.39073	27.80481
2013-08-02	1	68.78092	6.79639
2010-11-24	1	405.21392	40.04004
2015-08-08	1	101.91661	10.07059
2015-09-25	1	67.95695	6.71497
2012-05-27	1	745.55898	73.67025
2012-08-23	1	360.20137	35.59226
2011-10-07	1	410.5565	40.56795
2015-10-30	1	67.2261	6.64275
2015-06-17	1	77.16815	7.62515
2012-09-15	1	428.45968	42.337
2014-07-07	1	43.81085	4.32904
2009-10-23	1	554.35022	54.77651
2012-12-22	1	392.11971	38.74617
2017-01-30	1	122.50003	12.10449
2010-12-08	1	330.31587	32.63921
2011-08-10	1	535.34795	52.89886
2015-06-30	1	70.69314	6.98534
2016-06-05	1	125.1774	12.36904
2011-05-04	1	369.70182	36.53101
2010-11-23	1	361.74641	35.74492
2014-02-11	1	44.50952	4.39808
2012-10-10	1	430.64756	42.55319
2016-11-27	1	129.99303	12.84489
2011-06-26	1	506.34	50.03252
2015-09-16	1	59.21546	5.8512
2011-12-16	1	431.51058	42.63847
2009-06-11	1	354.6101	35.03977
2013-07-12	1	75.20076	7.43075
2009-01-17	1	860.7091	85.04848
2011-04-05	1	416.96748	41.20143
2008-12-14	1	344.11975	34.0032
2010-10-17	1	374.2684	36.98225
2017-04-24	1	136.87252	13.52466
2016-02-04	1	82.49146	8.15116
2017-05-30	1	132.87229	13.12939
2014-04-05	1	66.94063	6.61454
2015-06-03	1	67.26364	6.64646
2017-01-22	1	141.90669	14.0221
2017-04-01	1	155.86591	15.40144
2012-10-04	1	431.67623	42.65484
2011-12-14	1	220.37362	21.77558
2014-11-18	1	57.95533	5.72669
2010-01-27	1	504.29627	49.83058
2011-08-03	1	412.69952	40.77971
2016-01-12	1	84.07941	8.30806
2013-02-25	1	498.80317	49.28779
2008-06-11	1	563.4865	55.67929
2016-08-16	1	117.61677	11.62196
2009-06-17	1	513.71663	50.76142
2014-07-30	1	51.62586	5.10126
2015-11-01	1	78.40025	7.74689
2014-02-07	1	48.74512	4.81661
2015-01-18	1	135.43463	13.38258
2017-06-11	1	190.97272	18.87042
2014-12-15	1	66.23656	6.54497
2011-11-28	1	310.16972	30.64852
2015-05-20	1	67.60694	6.68038
2015-11-05	1	63.76306	6.30056
2014-07-16	1	43.35756	4.28425
2009-05-03	1	712.54084	70.40766
2015-08-19	1	70.45494	6.9618
2016-04-02	1	88.73803	8.76839
2015-08-20	1	68.42655	6.76137
2012-03-02	1	326.61667	32.27368
2014-06-03	1	46.89346	4.63364
2004-09-20	1	2552.38779	252.20681
2010-10-16	1	625.7477	61.83145
2007-11-07	1	787.38175	77.80285
2014-02-02	1	58.03742	5.7348
2012-11-17	1	456.87407	45.14469
2013-08-16	1	68.24934	6.74386
2016-07-20	1	98.53964	9.73691
2009-03-23	1	507.63531	50.16051
2017-03-04	1	146.95094	14.52053
2009-12-11	1	464.05987	45.85473
2014-10-06	1	60.01647	5.93035
2013-01-22	1	297.17274	29.36426
2013-06-30	1	80.79498	7.98352
2014-12-10	1	65.08974	6.43165
2003-02-12	1	1532.90179	151.46925
2013-03-10	1	211.55628	20.90432
2015-10-02	1	70.74602	6.99056
2003-06-17	1	2531.95337	250.18764
2010-03-09	1	332.9457	32.89907
2013-08-06	1	67.21673	6.64183
2014-04-20	1	172.31182	17.02649
2015-08-31	1	69.35409	6.85302
2015-08-22	1	103.893	10.26589
2010-07-19	1	330.75849	32.68294
2015-09-28	1	73.09286	7.22246
2011-07-26	1	270.40607	26.71939
2014-05-30	1	55.29599	5.46391
2014-09-26	1	51.14605	5.05385
2012-09-21	1	241.46349	23.85952
2011-06-08	1	497.40576	49.14971
2014-06-08	1	60.23652	5.9521
2012-02-12	1	463.91096	45.84002
2008-05-27	1	562.79711	55.61117
2013-01-18	1	158.52471	15.66416
2013-12-03	1	55.80797	5.5145
2012-03-23	1	401.80322	39.70302
2015-02-20	1	173.3567	17.12974
2008-09-21	1	374.60089	37.0151
2016-06-30	1	97.3023	9.61465
2011-06-07	1	444.94252	43.96571
2011-06-15	1	586.13562	57.91729
2009-03-04	1	497.91969	49.20049
2009-01-08	1	240.6596	23.78008
2015-06-22	1	78.36504	7.74341
2010-10-18	1	436.21628	43.10345
2012-06-20	1	328.47185	32.45699
2008-11-09	1	629.21025	62.17359
2011-01-30	1	373.78458	36.93444
2009-10-13	1	450.44811	44.50973
2015-07-15	1	73.57483	7.27008
2009-11-09	1	475.6859	47.00353
2015-05-28	1	72.27952	7.14209
2013-11-13	1	131.44847	12.9887
2016-06-19	1	179.58295	17.74497
2016-05-04	1	96.93974	9.57882
2016-05-01	1	127.64514	12.61289
2011-07-31	1	646.28761	63.86104
2015-12-26	1	101.34203	10.01382
2013-09-04	1	56.31729	5.56483
2013-08-05	1	82.68625	8.1704
2014-07-21	1	49.19892	4.86145
2009-11-11	1	625.09065	61.76652
2013-06-28	1	69.28524	6.84622
2014-06-13	1	46.64899	4.60948
2009-04-08	1	624.08841	61.66749
2009-05-07	1	662.9253	65.50504
2012-05-07	1	307.24119	30.35915
2009-06-05	1	702.35392	69.40107
2015-09-30	1	66.1517	6.53659
2010-03-02	1	457.63849	45.22022
2017-03-16	1	111.98152	11.06513
2011-07-24	1	378.62313	37.41255
2014-06-28	1	50.4344	4.98353
2012-08-04	1	607.38312	60.0168
2013-02-18	1	328.21618	32.43173
2010-11-25	1	551.27016	54.47216
2015-07-12	1	86.80772	8.57765
2013-06-29	1	83.3022	8.23127
2009-11-17	1	473.7486	46.8121
2014-08-02	1	150.3479	14.85619
2016-10-27	1	100.98304	9.97835
2009-07-08	1	471.16801	46.5571
2016-07-06	1	89.89596	8.88281
2011-05-30	1	562.57811	55.58953
2014-06-07	1	67.45867	6.66573
2009-07-27	1	310.55997	30.68708
2015-04-27	1	90.32199	8.92491
2012-04-02	1	431.52898	42.64029
2015-03-06	1	63.19567	6.2445
2015-07-28	1	128.21763	12.66945
2015-12-08	1	64.74619	6.39771
2013-05-08	1	290.82757	28.73728
2010-03-18	1	491.79792	48.59559
2016-07-29	1	101.71277	10.05045
2014-11-16	1	86.64496	8.56157
2016-05-24	1	93.803	9.26887
2013-03-05	1	388.04515	38.34356
2010-04-18	1	549.92217	54.33897
2014-11-24	1	64.38576	6.36209
2014-01-15	1	58.44837	5.77541
2015-10-23	1	60.74852	6.00269
2016-09-03	1	133.19756	13.16153
2013-12-19	1	64.88359	6.41128
2016-09-16	1	90.9846	8.99038
2016-11-03	1	102.00187	10.07902
2017-05-04	1	119.06699	11.76526
2014-07-31	1	53.2055	5.25735
2015-10-05	1	75.01403	7.41229
2013-11-04	1	67.10219	6.63051
2015-07-05	1	87.11034	8.60756
2016-10-21	1	105.6324	10.43776
2015-10-12	1	71.21497	7.0369
2016-10-22	1	134.81221	13.32108
2015-10-09	1	65.40016	6.46233
2014-12-08	1	64.65766	6.38896
2016-07-05	1	99.0159	9.78397
2017-02-02	1	118.39143	11.69851
2016-01-01	1	118.94524	11.75323
2017-02-20	1	103.58568	10.23552
2014-03-18	1	53.6037	5.29669
2017-05-08	1	128.31354	12.67893
2017-04-30	1	191.4315	18.91575
2015-10-16	1	67.21851	6.642
2016-06-24	1	75.4767	7.45801
2017-05-23	1	117.62634	11.62291
2017-01-01	1	163.00059	16.10643
2015-02-27	1	82.06868	8.10938
2017-05-03	1	143.02375	14.13248
2017-05-15	1	142.14388	14.04554
2014-12-06	1	73.21024	7.23406
2016-03-22	1	72.35911	7.14996
2016-07-17	1	132.64762	13.10719
2016-02-27	1	79.36305	7.84203
2015-01-30	1	56.75504	5.60808
2014-11-05	1	58.59965	5.79035
2015-01-24	1	79.13777	7.81977
2015-05-17	1	89.7644	8.86981
2014-01-18	1	69.59972	6.8773
2013-12-01	1	70.20616	6.93722
2016-11-01	1	140.4279	13.87598
2014-10-20	1	62.66854	6.19241
2015-02-25	1	107.63097	10.63524
2014-10-14	1	59.70031	5.89911
2015-07-24	1	76.81788	7.59054
2014-04-01	1	51.52808	5.0916
2016-09-07	1	95.38467	9.42516
2016-09-26	1	115.26181	11.38926
2015-03-18	1	66.70149	6.59092
2015-08-24	1	72.94429	7.20778
2016-05-25	1	88.07235	8.70261
2013-07-13	1	103.88661	10.26525
2016-12-10	1	140.31887	13.8652
2015-10-24	1	74.43964	7.35554
2017-05-26	1	118.68856	11.72787
2016-03-20	1	108.2191	10.69336
2016-03-25	1	86.42077	8.53942
2014-04-02	1	47.44994	4.68863
2014-11-28	1	70.83515	6.99937
2015-08-06	1	83.54426	8.25518
2016-08-25	1	91.53846	9.04511
2013-08-31	1	79.81811	7.887
2017-02-14	1	108.88042	10.7587
2016-03-29	1	97.04571	9.58929
2017-06-08	1	125.01659	12.35315
2015-12-31	1	106.43673	10.51724
2014-04-24	1	105.07634	10.38281
2014-04-22	1	86.54345	8.55154
2015-08-04	1	74.38438	7.35008
2016-01-28	1	90.26399	8.91917
2015-12-20	1	60.40803	5.96904
2016-06-21	1	101.63514	10.04278
2016-03-24	1	77.14698	7.62306
